SUID	shared name	id	type	entrezgene_id	ENSG_ID	hgnc_symbol	TiO2_24hrs_10_Caco2.logFC	TiO2_24hrs_10_Caco2.P.Value	TiO2_24hrs_100_Caco2.logFC	TiO2_24hrs_100_Caco2.P.Value	TiO2_24hrs_10_SAE.logFC	TiO2_24hrs_10_SAE.P.Value	TiO2_24hrs_100_SAE.logFC	TiO2_24hrs_100_SAE.P.Value	TiO2_24hrs_10_THP1.logFC	TiO2_24hrs_10_THP1.P.Value	TiO2_24hrs_100_THP1.logFC	TiO2_24hrs_100_THP1.P.Value	name	selected
69	KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_MAPK_SIGNALING_PATHWAY	FALSE
2118	57016	57016	Gene	57016	ENSG00000198074	AKR1B10	0.05313977	0.8032913	-0.02803539	0.8953118	-0.3802376	0.002705231	-0.1690076	0.1048303	-0.1337844	0.5366787	-0.004633486	0.9827351	57016	FALSE
70	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	FALSE
71	KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_WNT_SIGNALING_PATHWAY	FALSE
2120	5644	5644	Gene	5644	ENSG00000204983	PRSS1	-0.1402284	0.1966586	-0.09055262	0.3913212	0.2303987	0.01025838	0.09558584	0.2153468	0.04159512	0.8009594	-0.09119289	0.5831014	5644	FALSE
72	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	FALSE
73	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	FALSE
74	KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_ALZHEIMERS_DISEASE	FALSE
2122	55739	55739	Gene	55739	ENSG00000213995	NAXD	0.03514201	0.6679074	-0.1392569	0.1127923	-0.1604295	0.1969916	-0.209359	0.1020309	0.04008967	0.6361528	0.3995356	0.0008931958	55739	FALSE
75	KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_PARKINSONS_DISEASE	FALSE
76	KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_HUNTINGTONS_DISEASE	FALSE
77	KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_PANCREATIC_CANCER	FALSE
78	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	FALSE
79	REACTOME_SIGNALING_BY_RHO_GTPASES	REACTOME_SIGNALING_BY_RHO_GTPASES	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SIGNALING_BY_RHO_GTPASES	FALSE
80	REACTOME_SIGNALING_BY_WNT	REACTOME_SIGNALING_BY_WNT	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SIGNALING_BY_WNT	FALSE
81	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	FALSE
2130	414	414	Gene	414	ENSG00000006756	ARSD	-0.003592435	0.9322093	-0.07732194	0.09244537	0.07400465	0.2674325	0.07956961	0.235484	-0.1497005	0.02689267	-0.3689433	0.0001135006	414	FALSE
82	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	FALSE
2131	416	416	Gene	416	ENSG00000062096	ARSF	-0.02019086	0.7097992	-0.05300454	0.3396191	0.09057937	0.2947397	0.2695055	0.008726106	-0.08289377	0.2538631	-0.06463525	0.3666576	416	FALSE
83	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	FALSE
2132	5476	5476	Gene	5476	ENSG00000064601	CTSA	-0.02015922	0.7013067	-0.1346373	0.02673095	0.119994	0.4853732	-0.1792611	0.3050176	-0.08516525	0.3045439	0.01208381	0.8806038	5476	FALSE
84	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	FALSE
85	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	FALSE
86	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	FALSE
2134	412	412	Gene	412	ENSG00000101846	STS	0.03377717	0.4618417	0.009471524	0.8341659	0.01937977	0.6855812	0.001864654	0.9687856	-0.001064164	0.9880795	-0.2278442	0.009496117	412	FALSE
87	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	FALSE
88	REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_COLLAGEN_FORMATION	FALSE
2137	2583	2583	Gene	2583	ENSG00000135454	B4GALNT1	-0.1052042	0.1668094	-0.01572689	0.8271005	0.1426267	0.1624688	0.217403	0.04509982	-0.0954278	0.2256881	-0.08127798	0.2966242	2583	FALSE
89	REACTOME_HS_GAG_DEGRADATION	REACTOME_HS_GAG_DEGRADATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_HS_GAG_DEGRADATION	FALSE
2138	51228	51228	Gene	51228	ENSG00000139433	GLTP	-0.1931709	0.1696091	-0.1541525	0.2639028	-0.2498463	0.04863336	-0.1500553	0.2054329	-0.002304748	0.9902049	-0.4129535	0.05025606	51228	FALSE
90	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	FALSE
91	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	FALSE
2139	23344	23344	Gene	23344	ENSG00000139641	ESYT1	0.05239956	0.2128096	0.03273588	0.423855	0.08891707	0.3504805	0.01463897	0.8749111	-0.2230378	0.01745373	-0.5160472	8.87739e-05	23344	FALSE
92	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	FALSE
93	REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_MRNA_SPLICING	FALSE
94	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	FALSE
95	REACTOME_SPHINGOLIPID_METABOLISM	REACTOME_SPHINGOLIPID_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SPHINGOLIPID_METABOLISM	FALSE
96	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	FALSE
97	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	FALSE
2146	8706	8706	Gene	8706	ENSG00000169255	B3GALNT1	0.01421603	0.8580865	0.1311491	0.1238682	0.02593001	0.9007308	0.207268	0.3313742	0.1723716	0.1729745	-0.404545	0.007072155	8706	FALSE
98	REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SMOOTH_MUSCLE_CONTRACTION	FALSE
2147	79642	79642	Gene	79642	ENSG00000180801	ARSJ	0.1557644	0.1362122	0.09163258	0.3608683	-0.1064801	0.5200702	0.3805294	0.03967521	0.1074432	0.1917956	0.1392635	0.100709	79642	FALSE
99	REACTOME_CGMP_EFFECTS	REACTOME_CGMP_EFFECTS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_CGMP_EFFECTS	FALSE
100	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	FALSE
2149	2760	2760	Gene	2760	ENSG00000196743	GM2A	-0.07016274	0.2189006	0.009298479	0.8648258	0.01048119	0.8248066	-0.01439847	0.7613305	0.01811789	0.8881501	0.3943211	0.01187134	2760	FALSE
101	REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_COMPLEMENT_CASCADE	FALSE
102	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	FALSE
103	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	FALSE
104	REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	FALSE
105	REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	FALSE
2154	2534	2534	Gene	2534	ENSG00000010810	FYN	-0.03621451	0.628595	0.03859554	0.6065279	-0.09014339	0.3291872	-0.1941899	0.05269501	-0.1897439	0.1103524	-0.4831143	0.001493662	2534	FALSE
106	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	FALSE
107	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	FALSE
108	REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	FALSE
109	REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_RHO_GTPASE_EFFECTORS	FALSE
110	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	FALSE
2159	5777	5777	Gene	5777	ENSG00000111679	PTPN6	-0.01229467	0.8702636	0.04218786	0.5783313	-0.04128062	0.8056	-0.1260935	0.4584	0.0103803	0.9414457	0.7206125	0.0005469291	5777	FALSE
111	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	FALSE
112	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	FALSE
113	REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_FCGR_ACTIVATION	FALSE
114	REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	FALSE
115	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	FALSE
116	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	FALSE
117	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	FALSE
2165	80228	80228	Gene	80228	ENSG00000160991	ORAI2	-0.08784808	0.07530925	-0.09708139	0.05344624	0.1086301	0.1157805	0.1426953	0.04774588	-0.1730072	0.07579821	-0.1753501	0.07255043	80228	FALSE
2166	5966	5966	Gene	5966	ENSG00000162924	REL	-0.002462127	0.9828552	-0.03008477	0.7932759	-0.1246921	0.4372708	-0.1628784	0.3157718	0.2100786	0.2589812	1.08158	0.0001635066	5966	FALSE
